CMDLINE /Users/julianromero/.local/share/virtualenvs/ProcessTweets-raqGfvtZ/bin/python /Users/julianromero/Documents/Bench/ProcessTweets/src/q1_time.py
MEM 0.203125 1710548469.8890
MEM 30.078125 1710548469.9943
MEM 52.015625 1710548470.0957
MEM 67.093750 1710548470.2009
MEM 89.234375 1710548470.3060
MEM 108.921875 1710548470.4112
MEM 150.093750 1710548470.5164
MEM 179.406250 1710548470.6200
MEM 201.187500 1710548470.7253
MEM 240.531250 1710548470.8256
MEM 264.562500 1710548470.9309
MEM 281.468750 1710548471.0314
MEM 318.781250 1710548471.1365
MEM 348.734375 1710548471.2405
MEM 339.578125 1710548471.3431
MEM 370.546875 1710548471.4433
MEM 408.500000 1710548471.5485
MEM 433.562500 1710548471.6494
MEM 433.578125 1710548471.7505
MEM 433.578125 1710548471.8557
MEM 472.343750 1710548471.9610
MEM 510.140625 1710548472.0661
MEM 543.406250 1710548472.1688
MEM 549.156250 1710548472.2740
MEM 549.156250 1710548472.3757
MEM 549.156250 1710548472.4809
MEM 579.390625 1710548472.5861
MEM 616.468750 1710548472.6866
MEM 658.015625 1710548472.7919
MEM 696.750000 1710548472.8921
MEM 696.750000 1710548472.9975
MEM 696.750000 1710548473.0991
MEM 696.750000 1710548473.2045
MEM 700.750000 1710548473.3096
MEM 741.203125 1710548473.4098
MEM 784.156250 1710548473.5150
MEM 826.312500 1710548473.6164
MEM 870.296875 1710548473.7216
MEM 883.953125 1710548473.8229
MEM 883.968750 1710548473.9282
MEM 883.968750 1710548474.0336
MEM 883.968750 1710548474.1389
MEM 883.968750 1710548474.2441
MEM 925.875000 1710548474.3493
MEM 968.515625 1710548474.4528
MEM 1010.484375 1710548474.5580
MEM 1053.953125 1710548474.6618
MEM 1097.062500 1710548474.7668
MEM 1116.031250 1710548474.8720
MEM 1116.093750 1710548474.9773
MEM 1116.093750 1710548475.0778
MEM 1116.093750 1710548475.1835
MEM 1116.093750 1710548475.2887
MEM 1116.093750 1710548475.3939
MEM 1153.031250 1710548475.4990
MEM 1160.375000 1710548475.6043
MEM 1178.046875 1710548475.7047
MEM 1188.859375 1710548475.8100
MEM 1230.656250 1710548475.9152
MEM 1245.875000 1710548476.0186
MEM 1247.203125 1710548476.1237
MEM 1249.921875 1710548476.2276
MEM 1252.687500 1710548476.3326
MEM 1254.109375 1710548476.4376
MEM 1264.171875 1710548476.5428
MEM 1264.421875 1710548476.6454
MEM 1264.421875 1710548476.7505
MEM 1217.500000 1710548476.8557
MEM 1101.750000 1710548476.9610
MEM 229.968750 1710548477.0663
