CMDLINE /Users/julianromero/.local/share/virtualenvs/ProcessTweets-raqGfvtZ/bin/python /Users/julianromero/Documents/Bench/ProcessTweets/src/q1_memory.py
MEM 0.203125 1710711249.4184
MEM 30.921875 1710711249.5237
MEM 53.875000 1710711249.6245
MEM 70.265625 1710711249.7281
MEM 93.156250 1710711249.8332
MEM 100.859375 1710711249.9384
MEM 100.859375 1710711250.0387
MEM 100.859375 1710711250.1438
MEM 100.859375 1710711250.2490
MEM 100.859375 1710711250.3541
MEM 100.859375 1710711250.4593
MEM 100.859375 1710711250.5645
MEM 100.859375 1710711250.6696
MEM 100.859375 1710711250.7748
MEM 100.859375 1710711250.8761
MEM 100.859375 1710711250.9804
MEM 100.859375 1710711251.0856
MEM 100.859375 1710711251.1907
MEM 100.859375 1710711251.2959
MEM 100.921875 1710711251.4005
MEM 100.921875 1710711251.5056
MEM 100.921875 1710711251.6108
MEM 100.921875 1710711251.7159
MEM 100.921875 1710711251.8211
MEM 100.921875 1710711251.9263
MEM 100.921875 1710711252.0315
MEM 101.078125 1710711252.1367
MEM 101.078125 1710711252.2418
MEM 101.078125 1710711252.3453
MEM 101.078125 1710711252.4504
MEM 101.078125 1710711252.5555
MEM 101.078125 1710711252.6573
MEM 101.078125 1710711252.7625
MEM 101.078125 1710711252.8676
MEM 101.078125 1710711252.9727
MEM 101.078125 1710711253.0779
MEM 101.078125 1710711253.1831
MEM 101.078125 1710711253.2882
MEM 101.078125 1710711253.3933
MEM 101.078125 1710711253.4978
MEM 101.078125 1710711253.6029
MEM 101.078125 1710711253.7082
MEM 101.078125 1710711253.8133
MEM 101.078125 1710711253.9185
MEM 101.078125 1710711254.0192
MEM 101.078125 1710711254.1239
MEM 101.078125 1710711254.2254
MEM 101.078125 1710711254.3262
MEM 101.078125 1710711254.4314
MEM 101.078125 1710711254.5366
MEM 101.078125 1710711254.6417
MEM 101.078125 1710711254.7470
MEM 101.078125 1710711254.8521
MEM 101.078125 1710711254.9573
MEM 101.078125 1710711255.0625
MEM 101.078125 1710711255.1671
MEM 101.078125 1710711255.2722
MEM 101.078125 1710711255.3774
MEM 101.078125 1710711255.4825
MEM 101.078125 1710711255.5877
MEM 101.078125 1710711255.6884
MEM 101.078125 1710711255.7907
MEM 101.078125 1710711255.8958
MEM 101.078125 1710711255.9976
MEM 101.078125 1710711256.1028
MEM 101.078125 1710711256.2079
MEM 101.078125 1710711256.3131
MEM 101.078125 1710711256.4182
MEM 101.078125 1710711256.5234
MEM 101.078125 1710711256.6286
MEM 101.078125 1710711256.7337
MEM 101.078125 1710711256.8343
MEM 101.078125 1710711256.9364
MEM 101.078125 1710711257.0416
MEM 101.078125 1710711257.1425
MEM 101.078125 1710711257.2476
MEM 101.078125 1710711257.3528
MEM 101.078125 1710711257.4580
MEM 101.078125 1710711257.5632
MEM 101.078125 1710711257.6635
MEM 101.078125 1710711257.7687
MEM 101.078125 1710711257.8738
MEM 101.078125 1710711257.9767
MEM 101.078125 1710711258.0819
MEM 105.734375 1710711258.1870
MEM 105.734375 1710711258.2922
MEM 105.734375 1710711258.3973
MEM 105.734375 1710711258.5024
MEM 105.734375 1710711258.6076
MEM 105.734375 1710711258.7127
MEM 105.734375 1710711258.8178
MEM 105.734375 1710711258.9199
MEM 105.734375 1710711259.0241
MEM 105.734375 1710711259.1293
MEM 105.734375 1710711259.2344
MEM 105.734375 1710711259.3396
MEM 105.734375 1710711259.4447
MEM 105.734375 1710711259.5498
MEM 105.734375 1710711259.6549
MEM 105.734375 1710711259.7600
MEM 105.734375 1710711259.8652
MEM 105.734375 1710711259.9703
MEM 105.734375 1710711260.0755
MEM 105.734375 1710711260.1806
MEM 105.734375 1710711260.2840
MEM 105.734375 1710711260.3891
MEM 105.734375 1710711260.4942
MEM 105.734375 1710711260.5993
MEM 105.734375 1710711260.7044
MEM 105.734375 1710711260.8095
MEM 105.734375 1710711260.9146
MEM 105.734375 1710711261.0198
MEM 105.734375 1710711261.1249
MEM 105.734375 1710711261.2301
MEM 105.734375 1710711261.3353
MEM 108.937500 1710711261.4404
MEM 118.296875 1710711261.5456
MEM 118.968750 1710711261.6508
